Voltage, ChA, Run #4
Time ( s )	Voltage ( V )
28,3500	0,270
28,3750	0,268
28,4000	0,269
28,4250	0,267
28,4500	0,271
28,4750	0,269
28,5000	0,267
28,5250	0,267
28,5500	0,270
28,5750	0,268
28,6000	0,272
28,6250	0,271
28,6500	0,272
28,6750	0,270
28,7000	0,273
28,7250	0,270
28,7500	0,273
28,7750	0,272
28,8000	0,275
28,8250	0,273
28,8500	0,274
28,8750	0,272
28,9000	0,276
28,9250	0,273
28,9500	0,274
28,9750	0,273
29,0000	0,278
29,0250	0,273
29,0500	0,275
29,0750	0,275
29,1000	0,277
29,1250	0,274
29,1500	0,278
29,1750	0,276
29,2000	0,278
29,2250	0,276
29,2500	0,280
29,2750	0,278
29,3000	0,277
29,3250	0,276
29,3500	0,279
29,3750	0,276
29,4000	0,279
29,4250	0,277
29,4500	0,280
29,4750	0,279
29,5000	0,279
29,5250	0,279
29,5500	0,281
29,5750	0,281
29,6000	0,281
29,6250	0,280
29,6500	0,281
29,6750	0,281
29,7000	0,281
29,7250	0,280
29,7500	0,283
29,7750	0,281
29,8000	0,283
29,8250	0,282
29,8500	0,285
29,8750	0,285
29,9000	0,285
29,9250	0,283
29,9500	0,285
29,9750	0,284
30,0000	0,284
30,0250	0,283
30,0500	0,285
30,0750	0,284
30,1000	0,286
30,1250	0,284
30,1500	0,287
30,1750	0,286
30,2000	0,286
30,2250	0,284
30,2500	0,289
30,2750	0,286
30,3000	0,289
30,3250	0,286
30,3500	0,289
30,3750	0,288
30,4000	0,290
30,4250	0,288
30,4500	0,291
30,4750	0,289
30,5000	0,290
30,5250	0,289
30,5500	0,294
30,5750	0,292
30,6000	0,292
30,6250	0,291
30,6500	0,293
30,6750	0,293
30,7000	0,292
30,7250	0,290
30,7500	0,295
30,7750	0,294
30,8000	0,293
30,8250	0,292
30,8500	0,297
30,8750	0,294
30,9000	0,293
30,9250	0,292
30,9500	0,296
30,9750	0,295
31,0000	0,295
31,0250	0,294
31,0500	0,296
31,0750	0,294
31,1000	0,295
31,1250	0,294
31,1500	0,298
31,1750	0,296
31,2000	0,298
31,2250	0,297
31,2500	0,298
31,2750	0,298
31,3000	0,299
31,3250	0,298
31,3500	0,297
31,3750	0,297
31,4000	0,294
31,4250	0,043
31,4500	0,042
31,4750	0,040
31,5000	0,039
31,5250	0,040
31,5500	0,040
31,5750	0,040
31,6000	0,042
31,6250	0,042
31,6500	0,040
31,6750	0,040
31,7000	0,039
31,7250	0,044
31,7500	0,040
31,7750	0,040
31,8000	0,040
31,8250	0,043
31,8500	0,041
31,8750	0,043
31,9000	0,042
31,9250	0,041
31,9500	0,038
31,9750	0,041
32,0000	0,040
32,0250	0,041
32,0500	0,039
32,0750	0,043
32,1000	0,041
32,1250	0,042
32,1500	0,040
32,1750	0,042
32,2000	0,040
32,2250	0,041
32,2500	0,041
32,2750	0,042
32,3000	0,040
32,3250	0,042
32,3500	0,040
32,3750	0,042
32,4000	0,040
32,4250	0,042
32,4500	0,042
32,4750	0,041
32,5000	0,039
32,5250	0,042
32,5500	0,040
32,5750	0,043
32,6000	0,040
32,6250	0,041
32,6500	0,042
32,6750	0,043
32,7000	0,041
32,7250	0,043
32,7500	0,041
32,7750	0,041
32,8000	0,038
32,8250	0,042
32,8500	0,042
32,8750	0,042
32,9000	0,040
32,9250	0,043
32,9500	0,042
32,9750	0,043
33,0000	0,040
33,0250	0,045
33,0500	0,043
33,0750	0,043
33,1000	0,040
33,1250	0,042
33,1500	0,039
33,1750	0,042
33,2000	0,039
33,2250	0,042
33,2500	0,040
33,2750	0,043
33,3000	0,040
33,3250	0,043
33,3500	0,042
33,3750	0,042
33,4000	0,038
33,4250	0,043
33,4500	0,042
33,4750	0,042
33,5000	0,038
33,5250	0,042
33,5500	0,040
33,5750	0,042
33,6000	0,038
33,6250	0,042
33,6500	0,042
33,6750	0,042
33,7000	0,040
33,7250	0,041
33,7500	0,042
33,7750	0,042
33,8000	0,040
33,8250	0,041
33,8500	0,040
33,8750	0,042
33,9000	0,038
33,9250	0,043
33,9500	0,041
33,9750	0,044
34,0000	0,041
34,0250	0,043
34,0500	0,042
34,0750	0,042
34,1000	0,040
34,1250	0,045
34,1500	0,042
34,1750	0,042
34,2000	0,040
34,2250	0,043
34,2500	0,039
34,2750	0,043
34,3000	0,042
34,3250	0,043
34,3500	0,040
34,3750	0,042
34,4000	0,042
34,4250	0,043
34,4500	0,039
34,4750	0,042
34,5000	0,040
34,5250	0,042
34,5500	0,040
34,5750	0,043
34,6000	0,041
34,6250	0,043
34,6500	0,042
34,6750	0,043
34,7000	0,040
34,7250	0,042
34,7500	0,040
34,7750	0,042
34,8000	0,040
34,8250	0,045
34,8500	0,043
34,8750	0,042
34,9000	0,042
34,9250	0,044
34,9500	0,041
34,9750	0,043
35,0000	0,043
35,0250	0,042
35,0500	0,039
35,0750	0,040
35,1000	0,040
35,1250	0,043
35,1500	0,042
35,1750	0,045
35,2000	0,042
35,2250	0,041
35,2500	0,042
35,2750	0,044
35,3000	0,041
35,3250	0,042
35,3500	0,041
35,3750	0,043
35,4000	0,039
35,4250	0,043
35,4500	0,042
35,4750	0,041
35,5000	0,040
35,5250	0,043
35,5500	0,040
35,5750	0,042
35,6000	0,042
35,6250	0,043
35,6500	0,041
35,6750	0,042
35,7000	0,040
35,7250	0,042
35,7500	0,040
35,7750	0,043
35,8000	0,040
35,8250	0,041
35,8500	0,042
35,8750	0,043
35,9000	0,041
35,9250	0,043
35,9500	0,042
35,9750	0,042
36,0000	0,041
36,0250	0,045
36,0500	0,041
36,0750	0,042
36,1000	0,041
36,1250	0,043
36,1500	0,040
36,1750	0,045
36,2000	0,043
36,2250	0,042
36,2500	0,041
36,2750	0,043
36,3000	0,043
36,3250	0,042
36,3500	0,040
36,3750	0,042
36,4000	0,041
36,4250	0,042
36,4500	0,040
36,4750	0,043
36,5000	0,041
36,5250	0,042
36,5500	0,041
36,5750	0,044
36,6000	0,041
36,6250	0,043
36,6500	0,042
36,6750	0,042
36,7000	0,041
36,7250	0,043
36,7500	0,039
36,7750	0,044
36,8000	0,043
36,8250	0,043
36,8500	0,041
36,8750	0,042
36,9000	0,040
36,9250	0,044
36,9500	0,043
36,9750	0,041
37,0000	0,042
37,0250	0,043
37,0500	0,040
37,0750	0,040
37,1000	0,040
37,1250	0,042
37,1500	0,040
37,1750	0,044
37,2000	0,040
37,2250	0,045
37,2500	0,041
37,2750	0,040
37,3000	0,042
37,3250	0,042
37,3500	0,040
37,3750	0,040
37,4000	0,042
37,4250	0,040
37,4500	0,039
37,4750	0,040
37,5000	0,043
37,5250	0,041
37,5500	0,040
37,5750	0,039
37,6000	0,042
37,6250	0,042
37,6500	0,042
37,6750	0,040
37,7000	0,042
37,7250	0,039
37,7500	0,040
37,7750	0,040
37,8000	0,041
37,8250	0,040
37,8500	0,041
37,8750	0,039
37,9000	0,042
37,9250	0,042
37,9500	0,042
37,9750	0,041
38,0000	0,045
38,0250	0,041
38,0500	0,042
38,0750	0,040
38,1000	0,040
38,1250	0,040
38,1500	0,040
38,1750	0,038
38,2000	0,041
38,2250	0,040
38,2500	0,037
38,2750	0,040
38,3000	0,040
38,3250	0,039
38,3500	0,040
