Voltage, ChB, Run #5
Time ( s )	Voltage ( V )
28,3000	1,309
28,3250	1,309
28,3500	1,310
28,3750	1,313
28,4000	1,316
28,4250	1,310
28,4500	1,310
28,4750	1,326
28,5000	1,326
28,5250	1,318
28,5500	1,319
28,5750	1,334
28,6000	1,333
28,6250	1,332
28,6500	1,334
28,6750	1,339
28,7000	1,340
28,7250	1,338
28,7500	1,336
28,7750	1,346
28,8000	1,348
28,8250	1,345
28,8500	1,343
28,8750	1,358
28,9000	1,359
28,9250	1,351
28,9500	1,351
28,9750	1,365
29,0000	1,364
29,0250	1,361
29,0500	1,364
29,0750	1,367
29,1000	1,370
29,1250	1,373
29,1500	1,372
29,1750	1,376
29,2000	1,376
29,2250	1,372
29,2500	1,374
29,2750	1,386
29,3000	1,388
29,3250	1,388
29,3500	1,386
29,3750	1,393
29,4000	1,395
29,4250	1,392
29,4500	1,393
29,4750	1,400
29,5000	1,400
29,5250	1,400
29,5500	1,398
29,5750	1,409
29,6000	1,411
29,6250	1,411
29,6500	1,411
29,6750	1,422
29,7000	1,422
29,7250	1,417
29,7500	1,419
29,7750	1,423
29,8000	1,426
29,8250	1,429
29,8500	1,428
29,8750	1,432
29,9000	1,434
29,9250	1,428
29,9500	1,429
29,9750	1,445
30,0000	1,445
30,0250	1,442
30,0500	1,440
30,0750	1,451
30,1000	1,455
30,1250	1,451
30,1500	1,453
30,1750	1,457
30,2000	1,458
30,2250	1,455
30,2500	1,455
30,2750	1,465
30,3000	1,470
30,3250	1,462
30,3500	1,464
30,3750	1,476
30,4000	1,475
30,4250	1,471
30,4500	1,471
30,4750	1,481
30,5000	1,484
30,5250	1,482
30,5500	1,481
30,5750	1,492
30,6000	1,491
30,6250	1,486
30,6500	1,486
30,6750	1,491
30,7000	1,495
30,7250	1,486
30,7500	1,486
30,7750	1,506
30,8000	1,505
30,8250	1,495
30,8500	1,497
30,8750	1,511
30,9000	1,513
30,9250	1,512
30,9500	1,511
30,9750	1,517
31,0000	1,519
31,0250	1,515
31,0500	1,517
31,0750	1,528
31,1000	1,530
31,1250	1,525
31,1500	1,525
31,1750	1,538
31,2000	1,541
31,2250	1,536
31,2500	1,534
31,2750	1,542
31,3000	1,542
31,3250	1,544
31,3500	1,546
31,3750	1,552
31,4000	1,552
31,4250	1,547
31,4500	1,548
31,4750	1,548
31,5000	1,548
31,5250	1,549
31,5500	0,035
31,5750	0,034
31,6000	0,017
31,6250	0,017
31,6500	0,018
31,6750	0,020
31,7000	0,018
31,7250	0,020
31,7500	0,018
31,7750	0,016
31,8000	0,016
31,8250	0,015
31,8500	0,020
31,8750	0,020
31,9000	0,017
31,9250	0,018
31,9500	0,016
31,9750	0,016
32,0000	0,020
32,0250	0,016
32,0500	0,021
32,0750	0,022
32,1000	0,015
32,1250	0,017
32,1500	0,025
32,1750	0,025
32,2000	0,021
32,2250	0,021
32,2500	0,016
32,2750	0,015
32,3000	0,020
32,3250	0,020
32,3500	0,016
32,3750	0,018
32,4000	0,017
32,4250	0,018
32,4500	0,022
32,4750	0,020
32,5000	0,017
32,5250	0,018
32,5500	0,018
32,5750	0,019
32,6000	0,020
32,6250	0,023
32,6500	0,020
32,6750	0,019
32,7000	0,016
32,7250	0,020
32,7500	0,018
32,7750	0,017
32,8000	0,015
32,8250	0,014
32,8500	0,020
32,8750	0,021
32,9000	0,014
32,9250	0,016
32,9500	0,018
32,9750	0,020
33,0000	0,020
33,0250	0,020
33,0500	0,016
33,0750	0,016
33,1000	0,020
33,1250	0,023
33,1500	0,016
33,1750	0,018
33,2000	0,015
33,2250	0,016
33,2500	0,021
33,2750	0,018
33,3000	0,012
33,3250	0,013
33,3500	0,016
33,3750	0,018
33,4000	0,012
33,4250	0,015
33,4500	0,016
33,4750	0,016
33,5000	0,020
33,5250	0,021
33,5500	0,013
33,5750	0,015
33,6000	0,015
33,6250	0,015
33,6500	0,020
33,6750	0,018
33,7000	0,016
33,7250	0,016
33,7500	0,016
33,7750	0,020
33,8000	0,016
33,8250	0,016
33,8500	0,016
33,8750	0,015
33,9000	0,018
33,9250	0,021
33,9500	0,017
33,9750	0,018
34,0000	0,016
34,0250	0,018
34,0500	0,022
34,0750	0,021
34,1000	0,016
34,1250	0,017
34,1500	0,020
34,1750	0,021
34,2000	0,012
34,2250	0,012
34,2500	0,016
34,2750	0,017
34,3000	0,020
34,3250	0,022
34,3500	0,015
34,3750	0,016
34,4000	0,017
34,4250	0,015
34,4500	0,015
34,4750	0,015
34,5000	0,017
34,5250	0,020
34,5500	0,015
34,5750	0,016
34,6000	0,016
34,6250	0,018
34,6500	0,017
34,6750	0,019
34,7000	0,020
34,7250	0,020
34,7500	0,018
34,7750	0,019
34,8000	0,020
34,8250	0,021
34,8500	0,018
34,8750	0,019
34,9000	0,014
34,9250	0,013
34,9500	0,016
34,9750	0,018
35,0000	0,016
35,0250	0,018
35,0500	0,016
35,0750	0,015
35,1000	0,016
35,1250	0,019
35,1500	0,017
35,1750	0,017
35,2000	0,019
35,2250	0,020
35,2500	0,020
35,2750	0,022
35,3000	0,016
35,3250	0,016
35,3500	0,017
35,3750	0,020
35,4000	0,015
35,4250	0,015
35,4500	0,014
35,4750	0,015
35,5000	0,018
35,5250	0,020
35,5500	0,013
35,5750	0,013
35,6000	0,020
35,6250	0,021
35,6500	0,017
35,6750	0,017
35,7000	0,018
35,7250	0,018
35,7500	0,018
35,7750	0,019
35,8000	0,019
35,8250	0,019
35,8500	0,012
35,8750	0,014
35,9000	0,018
35,9250	0,017
35,9500	0,013
35,9750	0,015
36,0000	0,021
36,0250	0,023
36,0500	0,016
36,0750	0,016
36,1000	0,016
36,1250	0,018
36,1500	0,018
36,1750	0,018
36,2000	0,016
36,2250	0,017
36,2500	0,016
36,2750	0,016
36,3000	0,018
36,3250	0,020
36,3500	0,015
36,3750	0,014
36,4000	0,012
36,4250	0,012
36,4500	0,015
36,4750	0,018
36,5000	0,015
36,5250	0,017
36,5500	0,016
36,5750	0,018
36,6000	0,014
36,6250	0,013
36,6500	0,015
36,6750	0,017
36,7000	0,016
36,7250	0,018
36,7500	0,015
36,7750	0,016
36,8000	0,017
36,8250	0,020
36,8500	0,019
36,8750	0,018
36,9000	0,019
36,9250	0,020
36,9500	0,016
36,9750	0,015
37,0000	0,010
